Species,Latin Name,Year,Queens,Workers,Males,Unknown
Common Carder,BOMBUS pascuorum,2011,0,3,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,2,0,0,0
Common Carder,BOMBUS pascuorum,2011,3,0,0,0
Indet. Bee,Bombus sp.,2011,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Indet. Bee,Bombus sp.,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,2,0,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,2,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2011,1,0,0,0
Indet. Bee,Bombus sp.,2011,4,0,0,0
Indet. Bee,Bombus sp.,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,1,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,1,0,0
Indet. Bee,Bombus sp.,2011,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Common Carder,BOMBUS pascuorum,2011,0,1,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2011,0,1,0,0
Common Carder,BOMBUS pascuorum,2011,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,9,0,0
Early Bumblebee,BOMBUS pratorum,2011,0,4,0,0
Common Carder,BOMBUS pascuorum,2011,1,0,0,0
Southern Cuckoo Bumblebee,BOMBUS vestalis,2011,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2012,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2011,0,1,0,0
