Species,Latin Name,Year,Queens,Workers,Males,Unknown
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,15,0,0
Early Bumblebee,BOMBUS pratorum,2010,0,0,2,0
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,10,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,3,0,0
Early Bumblebee,BOMBUS pratorum,2010,0,0,3,0
Common Carder,BOMBUS pascuorum,2010,0,8,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,10,0,0
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,8,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,3,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,3,0,0
Heath Bumblebee,BOMBUS jonellus,2010,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
Garden Bumblebee,BOMBUS hortorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,3,0,0
Common Carder,BOMBUS pascuorum,2009,0,2,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2009,0,1,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,2,0,0
Indet. Bee,Bombus sp.,2010,0,0,0,2
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,1,0
Garden Bumblebee,BOMBUS hortorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2009,0,2,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,3,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,4,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,4,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,0,4
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,0,4
Common Carder,BOMBUS pascuorum,2010,0,10,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,13,0,0
Common Carder,BOMBUS pascuorum,2010,0,6,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,8,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,5,0
Common Carder,BOMBUS pascuorum,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Common Carder,BOMBUS pascuorum,2010,0,10,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,6,0,0
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,5,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,1,0
Gypsy Cuckoo Bumblebee,BOMBUS bohemicus,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,14,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2009,0,3,0,0
Common Carder,BOMBUS pascuorum,2009,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,2,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,5,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,3,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,1,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,0,1
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,4,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Honeybee,APIS mellifera,2010,0,0,0,2
Honeybee,APIS mellifera,2010,0,0,0,1
Honeybee,APIS mellifera,2010,0,0,0,2
Honeybee,APIS mellifera,2010,0,0,0,3
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,5,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,1,0
Honeybee,APIS mellifera,2010,0,0,0,3
Honeybee,APIS mellifera,2010,0,0,0,2
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,2,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,0,3,0
Common Carder,BOMBUS pascuorum,2010,0,7,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,1,0,0
Tree Bumblebee,BOMBUS hypnorum,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,10
Common Carder,BOMBUS pascuorum,2010,0,0,0,6
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,1
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,0,15
Gypsy Cuckoo Bumblebee,BOMBUS bohemicus,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,4
Common Carder,BOMBUS pascuorum,2010,2,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,0,15
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,1,0
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,0,4
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,0,1,0
Gypsy Cuckoo Bumblebee,BOMBUS bohemicus,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,1
Common Carder,BOMBUS pascuorum,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,0,1
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,1
Common Carder,BOMBUS pascuorum,2010,0,0,0,6
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,2
Common Carder,BOMBUS pascuorum,2010,0,0,0,8
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,0,9
Common Carder,BOMBUS pascuorum,2010,0,0,0,5
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Common Carder,BOMBUS pascuorum,2010,0,3,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,1,0
Shrill Carder,BOMBUS sylvarum,2010,0,4,0,0
Brown-banded Carder,BOMBUS humilis,2010,0,3,0,0
Shrill Carder,BOMBUS sylvarum,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Shrill Carder,BOMBUS sylvarum,2010,0,3,0,0
Shrill Carder,BOMBUS sylvarum,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,5,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,1,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,5,0,0
Common Carder,BOMBUS pascuorum,2010,0,0,1,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,0,1,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,1,0,0,0
Common Carder,BOMBUS pascuorum,2010,0,2,0,0
Gypsy Cuckoo Bumblebee,BOMBUS bohemicus,2010,0,1,0,0
Indet. Bee,Bombus sp.,2010,0,0,0,1
Early Bumblebee,BOMBUS pratorum,2010,0,0,1,0
Garden Bumblebee,BOMBUS hortorum,2010,0,2,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Garden Bumblebee,BOMBUS hortorum,2010,0,4,0,0
a white-tailed bumblebee,BOMBUS lucorum s.l.,2010,0,1,0,0
Buff-tailed Bumblebee,BOMBUS terrestris,2010,0,1,0,0
Red-tailed Bumblebee,BOMBUS lapidarius,2010,0,2,0,0
